-148.32	-115.56	-103.68	-108.36
-65.6745	4.49182	-22.6764	11.6582
22.7106	25.9909	73.4724	37.9348
-177.35	-68.7312	-129.312	-61.128
115.2	-17.64	181.728	-17.928
-148.32	-116.424	-102.701	-110.203
-177.696	-66.312	-129.6	-62.28
-178.56	-69.48	-129.6	-63
-177.696	-69.768	-129.6	-62.28
115.2	-17.4	181.44	-19.08
116	-18	181.2	-19.8
21.7153	24.9956	73.4724	37.9348
115.027	-16.8912	181.382	-18.9648
-162.72	-73.8	-116.64	-66.6
116.064	-16.2	181.382	-18.9648
-162	-72.6	-115	-65
-148.32	-119.88	-103.392	-112.968
-65.376	5.089	-20.5862	12.554
-172.374	102.134	-125.51	101.304
-178.8	-69	-130	-62
-158.4	-137.16	-113.76	-129.96
-158.4	-137.4	-114	-130.2
-172.512	106.488	-124.128	103.032
117.6	107.4	185.76	132.12
-105.09	40.3236	-62.0914	47.49
-99.7148	52.8648	-57.911	58.8367
113.76	32.76	178.272	40.824
26.6919	44.9021	76.4583	58.8367
120	-6	187.2	-5.39999
-30.5395	7.57733	14.2503	15.0423
-94.752	51.192	-51.552	59.832
-159	-138	-114	-130
-168.48	114.84	-121.2	111
-100.212	49.8788	-55.4227	57.3437
122.4	29.88	188.64	37.368
125.28	31.32	193.824	39.096
-172.8	107.64	-123.84	103.32
-140.026	-120.571	-96.48	-112.277
-162.835	-74.952	-117.216	-66.6576
118	108	188.4	133.8
-162.72	-69.48	-115.2	-60.84
-63.883	5.08902	-22.0792	14.047
25.6966	43.9068	77.6527	58.2395
-28.0512	-0.302368	17.568	7.99203
119.52	29.88	188.64	37.368
20.3218	25.9909	74.0695	36.7405
131	42	202.8	52.2
97.3602	-33.7288	161.061	-34.7241
-28.0511	0.112366	16.7386	7.57733
-171.6	108.6	-124.8	105
-179	-69	-130	-62
14.2503	34.9489	66.505	44.9021
-171.13	103.378	-122.607	97.1569
-126.72	-142.92	-84.96	-135.72
-87.7708	46.8928	-42.9811	55.8508
-162.144	-68.04	-115.488	-61.128
116.64	106.2	185.184	132.408
-148.32	-116.424	-103.392	-107.784
-162.835	-68.7312	-117.216	-60.4368
111.6	76.2	172.8	88.92
4.32001	42.84	52.128	56.376
-162.144	-73.224	-117.216	-66.312
134	69	204	83.4
-162.42	-67.0723	-117.631	-59.6073
-167.328	122.04	-119.52	117.72
-177	152	-130	151
-126	-142.2	-84	-135
4.32001	64.44	51.84	78.84
-164.909	117.893	-117.216	115.128
134	-15	206.4	-15
21.7152	26.6544	73.5552	37.0224
-135.878	-120.571	-90.2592	-114.35
-24.48	2.52	21.024	11.448
-25.0652	11.061	22.7106	23.0049
112	76	172	87
13.7527	37.9348	66.9032	47.49
-139.68	-119.88	-96.48	-112.968
108.806	49.464	171.014	57.7584
-168	113.4	-121.2	111
-1.17728	-2.67455	48.9873	8.075
-134.496	-119.88	-89.568	-114.696
112	32	177.12	38.52
133	85	201.6	103.8
14.112	32.184	65.2608	45.3168
-80.0073	36.7405	-40.5923	43.9068
132	39	204	48.6
-144.864	-114.696	-103.392	-107.784
132	40.2	201.6	50.04
-139.68	-121.32	-95.04	-118.44
122.976	30.456	188.64	37.368
96.3649	-32.2358	158.573	-33.48
91.3882	-24.7708	156.085	-27.2592
-159	157	-114	157
14.4	31.32	65.2608	45.3168
-160.416	134.136	-114	129
132	84.6	201.6	100.44
-161.28	133.56	-114	129
126	89	192	105
-98.5536	49.464	-52.9344	57.7584
125	40	194.4	48.6
